City,Housing,Cost of Living,Startups,Travel Connectivity,Commute,Safety,Healthcare,Education,Environmental Quality,Taxation,Internet Access,lat,lng,Overall
"New York, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,40.6943,-73.9249,5.946015151515152
"Los Angeles, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001,34.1141,-118.4068,5.589424242424243
"Chicago, IL",3.7020000000000004,4.766000000000001,9.513,5.5075,4.57975,3.8320000000000003,8.555,7.999,6.8045,4.062,6.599499999999999,41.8375,-87.6866,5.992750000000001
"Miami, FL",3.0309999999999997,4.497,8.0225,4.1690000000000005,4.0527500000000005,4.321,8.528999999999998,4.3945,6.292,4.772,5.824,25.784,-80.2101,5.264068181818181
"Dallas, TX",5.259000000000001,6.090999999999999,7.939500000000001,4.746499999999999,4.4704999999999995,4.3389999999999995,8.439333333333332,4.284,6.693,4.772,6.4609999999999985,32.7935,-96.7667,5.772257575757575
"Houston, TX",5.224500000000001,6.162,7.9345,4.338500000000001,4.03075,3.1289999999999996,8.611,4.928,5.304500000000001,4.772,6.248499999999999,29.786,-95.3885,5.516659090909091
"Philadelphia, PA",4.207,4.422000000000001,7.3625,3.5559999999999996,4.1315,3.1329999999999996,8.621666666666666,6.0285,5.1240000000000006,3.7785,7.443,40.0077,-75.1339,5.255242424242424
"Atlanta, GA",4.9755,5.241,8.835,5.2915,3.8977500000000003,2.6725,8.533999999999999,6.456999999999999,5.817749999999999,4.204,6.4805,33.7628,-84.422,5.673318181818181
"Washington, DC",1.2105000000000001,3.5949999999999993,8.774000000000001,4.505000000000001,4.457000000000001,2.1915,8.490666666666666,5.968500000000001,6.9937499999999995,4.062,3.825500000000001,38.9047,-77.0163,4.915765151515151
"Boston, MA",1.0,4.259,9.565000000000001,3.215,4.39625,7.742000000000001,8.956,8.6245,8.1705,4.062,5.700500000000001,42.3188,-71.0852,5.971886363636364
"Phoenix, AZ",6.5329999999999995,6.208,6.508500000000001,3.3024999999999998,4.828500000000001,2.5829999999999997,8.567333333333334,4.590999999999999,4.625249999999999,4.488,6.178,33.5722,-112.0892,5.310280303030303
"Detroit, MI",6.223000000000001,6.032,5.4015,3.6405,0.9329999999999999,4.4615,8.278999999999998,5.8185,4.04675,3.7785,6.167000000000002,42.3834,-83.1024,4.980113636363637
"San Francisco, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001,37.7558,-122.4449,5.602068181818181
"Seattle, WA",2.291,3.79,8.367,2.8845,4.523750000000001,5.6365,8.724333333333332,5.7145,7.560250000000001,4.772,4.940499999999999,47.6211,-122.3244,5.382212121212121
"San Diego, CA",2.9335,5.156000000000001,8.3505,2.6220000000000003,4.40975,6.933,8.767666666666665,5.4575,7.26725,4.488,5.999,32.8313,-117.1222,5.671287878787878
"Minneapolis, MN",4.738500000000001,5.042000000000001,6.5264999999999995,3.544,4.924999999999999,5.085000000000001,8.972,5.2745,8.362,4.062,6.258499999999999,44.9635,-93.2678,5.708181818181818
"Tampa, FL",5.696,5.253,6.3469999999999995,2.9055000000000004,1.40075,4.706499999999999,8.781666666666666,4.2805,7.37875,4.772,7.195,27.9945,-82.4447,5.337878787878787
"Brooklyn, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,40.6501,-73.9496,5.946015151515152
"Denver, CO",3.8375,5.102,7.8645,4.243,4.530000000000001,5.371,8.615666666666666,3.6245,7.11675,4.346,5.418500000000001,39.762,-104.8758,5.460856060606061
"Queens, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,40.7498,-73.7976,5.946015151515152
"Baltimore, MD",4.829999999999999,4.982,0.0,3.6664999999999996,4.93475,2.373,8.944666666666665,5.8805,5.784500000000001,4.062,4.988,39.3051,-76.6144,4.5859924242424235
"Las Vegas, NV",7.0009999999999994,5.7589999999999995,7.515,3.5285,4.807499999999999,2.385,7.984666666666667,3.6245,5.556500000000001,4.772,5.3035,36.2333,-115.2654,5.294287878787878
"St. Louis, MO",6.958,5.504,5.424000000000001,2.5315,5.085500000000001,3.8805000000000005,8.877333333333333,5.2715,7.37425,4.062,8.909,38.6359,-90.2451,5.807053030303031
"Riverside, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001,33.9381,-117.3949,5.589424242424243
"Portland, OR",4.138,4.924,6.957,2.2405,4.9079999999999995,5.1805,8.596666666666666,4.2155,8.4595,3.9205,5.968500000000001,45.5371,-122.65,5.409878787878788
"San Antonio, TX",6.402000000000001,6.683,5.356,1.6815000000000002,4.9647499999999996,4.2165,8.633333333333333,4.151999999999999,6.201499999999999,4.772,8.0745,29.4632,-98.5238,5.557916666666666
"Sacramento, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001,38.5677,-121.4685,5.602068181818181
"San Jose, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001,37.3012,-121.848,5.602068181818181
"Orlando, FL",5.778499999999999,5.284,6.5975,3.7734999999999994,4.33875,4.134,8.274,3.6245,6.676,4.772,4.886,28.4773,-81.337,5.285340909090909
"Cleveland, OH",7.155999999999999,5.595,4.961,2.0775000000000006,4.42125,3.6369999999999996,8.899000000000001,4.6185,7.2505,3.9205,5.476500000000001,41.4764,-81.6805,5.273886363636364
"Pittsburgh, PA",5.963500000000002,4.795,6.5075,1.7379999999999998,4.308,4.791,8.582333333333333,6.5935,6.874250000000001,3.7785,8.669500000000001,40.4397,-79.9763,5.691007575757576
"Manhattan, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,40.7834,-73.9662,5.946015151515152
"Austin, TX",4.3345,5.3549999999999995,9.236,1.8515000000000004,4.3305,5.069,8.686666666666666,5.315000000000001,7.03075,4.772,9.049,30.3005,-97.7522,5.911810606060606
"Cincinnati, OH",6.6775,6.1080000000000005,6.0995,1.9264999999999999,4.743500000000001,4.975,8.637999999999998,4.2805,7.1095,3.9205,6.512000000000001,39.1413,-84.506,5.544590909090908
"Indianapolis, IN",6.266,5.478,5.503,1.6815000000000002,4.85875,3.968,8.597666666666665,3.6245,6.1605,4.062,5.875500000000001,39.7771,-86.1458,5.097765151515151
"Kansas City, MO",6.7075,5.844,2.793999999999999,1.8689999999999998,1.9725000000000004,4.422500000000001,8.775666666666666,3.6245,7.9765,4.062,8.188500000000001,39.1238,-94.5541,5.112424242424242
"Columbus, OH",6.2895,5.746000000000001,5.878500000000001,1.663,5.02675,5.2815,8.688999999999998,5.047499999999999,8.166,3.9205,4.5535,39.9862,-82.9855,5.478340909090909
"Charlotte, NC",5.549,4.987,6.247999999999999,3.6790000000000003,4.134,5.347499999999999,8.811333333333334,3.6245,8.009249999999998,4.062,6.3870000000000005,35.2083,-80.8303,5.530780303030303
