,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
33,Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1685522,1165.0,shape,False,True,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728,1840019590
34,Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506,1684800,1501.0,shape,False,True,America/New_York,1,45267 45219 45213 45212 45211 45217 45216 45214 45233 45226 45227 45225 45223 45229 45224 45232 45204 45205 45206 45207 45202 45203 45208 45209 45239 45238 45237 45220 45230,1840003814
35,Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1636763,928.0,shape,False,True,America/Indiana/Indianapolis,1,46234 46237 46218 46219 46217 46214 46260 46268 46226 46225 46183 46231 46235 46236 46239 46254 46250 46208 46201 46203 46202 46205 46204 46206 46256 46259 46227 46224 46222 46221 46220 46229 46228 46113 46278 46241 46240,1840030084
36,Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1602005,602.0,shape,False,True,America/Chicago,1,64161 64163 64164 64165 64167 64053 64118 64116 64151 64153 64155 64154 64157 64156 64158 64108 64109 64106 64102 64128 64129 64124 64125 64126 64127 64120 64123 64166 64119 64114 64117 64111 64110 64113 64112 64133 64146 64145 64149 64147 64105 64101 64139 64138 64132 64131 64130 64137 64136 64134,1840008535
37,Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.9855,1547862,1560.0,shape,False,True,America/New_York,1,43109 43026 43054 43220 43221 43222 43223 43224 43081 43228 43227 43213 43212 43215 43214 43217 43219 43218 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209,1840003760
38,Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303,1526465,1094.0,shape,False,True,America/New_York,1,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28223 28227 28226 28278 28270 28273 28274 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244,1840014557
39,Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,1475522,711.0,shape,False,True,America/New_York,1,23459 23451 23453 23452 23455 23457 23456 23454 23460 23461 23462 23464,1840003871
40,Bronx,Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,1472654,13356.0,point,False,True,America/New_York,1,10453 10457 10460 10458 10467 10468 10451 10452 10456 10454 10455 10459 10474 10463 10471 10466 10469 10470 10475 10461 10462 10464 10465 10472 10473,1840033999
41,Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,1390046,2379.0,shape,False,True,America/Chicago,1,53203 53202 53207 53206 53205 53204 53209 53208 53233 53218 53219 53214 53215 53216 53210 53211 53212 53213 53295 53225 53224 53221 53220 53223 53222 53228,1840003046
42,Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1204385,3764.0,shape,False,True,America/New_York,1,02903 02906 02907 02908 02904 02905 02909 02912 02918,1840003289
43,Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1165107,466.0,shape,False,True,America/New_York,1,32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32214 32217 32216 32211 32210 32212 32246 32244 32233 32234 32202 32250 32254 32257 32256 32208 32209 32206 32207 32204 32205 32203 32258 32277,1840015031
44,Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake,40.7776,-111.9311,1135747,700.0,shape,False,True,America/Denver,1,84116 84115 84114 84113 84112 84111 84128 84150 84180 84108 84101 84102 84103 84104 84105 84106 84138,1840021383
45,Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7842,1081876,541.0,shape,False,True,America/Chicago,1,37027 37138 37076 37072 37203 37206 37201 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37232 37238 37209 37208 37205 37204 37207 37115 37013 37228 37221 37220 37143,1840036155
46,Raleigh,Raleigh,NC,North Carolina,37183,Wake,35.8324,-78.6429,1073795,1232.0,shape,False,True,America/New_York,1,27617 27616 27615 27614 27613 27612 27610 27609 27601 27603 27604 27605 27606 27608 27607 27697 27695,1840014497
47,Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1087,-89.9663,1072330,846.0,shape,False,True,America/Chicago,1,38120 38127 38126 38107 38106 38105 38104 38103 38109 38108 38152 38132 38141 38112 38114 38111 38113 38115 38116 38117 38118 38119 38018 38016 38133 38131 38134 38128 38122 38125,1840015457
48,Richmond,Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,1025117,1476.0,shape,False,True,America/New_York,1,23222 23223 23298 23284 23220 23221 23226 23227 23224 23225 23230 23235 23234 23219 23173,1840001698
49,Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,1004821,906.0,shape,False,True,America/New_York,1,40245 40242 40241 40218 40219 40214 40216 40211 40213 40059 40291 40299 40220 40223 40222 40229 40228 40023 40272 40207 40209 40258 40118,1840030815
50,New Orleans,New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,957783,891.0,shape,False,True,America/Chicago,2,70139 70130 70131 70148 70114 70115 70116 70117 70112 70113 70118 70119 70129 70128 70125 70124 70127 70126 70122 70163,1840001839
51,Bridgeport,Bridgeport,CT,Connecticut,9001,Fairfield,41.1918,-73.1954,948918,3485.0,shape,False,True,America/New_York,2,06605 06604 06607 06606 06608 06610,1840004836
52,Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,947247,413.0,shape,False,True,America/Chicago,2,73099 73119 73118 73114 73117 73116 73111 73110 73112 73020 73012 73013 73142 73141 73145 73149 73169 73078 73108 73109 73106 73107 74857 73139 73132 73131 73135 73134 73008 73097 73084 73105 73162 73103 73054 73151 73150 73159 73064 73104 73102 73179 73173 73170 73049 73160 73165 73127 73120 73121 73122 73128 73129,1840020428
53,Buffalo,Buffalo,NY,New York,36029,Erie,42.9018,-78.8487,926607,2446.0,shape,False,True,America/New_York,2,14208 14209 14202 14203 14201 14206 14207 14204 14220 14222 14211 14210 14213 14212 14215 14214 14216,1840000386
